macro_region,Agriculture,Mining,Consumer Goods,Heavy Industries,Equipment Goods,Electricity production,Construction,Transport,Warehousing,Services
USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU-27,0.055963101651781526,0.03748425460499542,0.0050649557368582405,0.004562328948694125,0.0037200903618445297,0.005692801580435958,0.16026792709777185,0.005834552578605914,0.006057430081900852,0.005554555058480822
Europe_Non_EU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,2.6319200506332368,0.9612542493419953,0.2705368872184053,0.6332115080568712,0.33503553647304407,0.6247485779669013,3.376237997025286,0.3187740157596782,0.3449392513052375,0.13746365342465483
China,2.7454109895377297,2.3727501534492914,1.4448761167053408,1.4447537732234106,1.1113689497781158,1.7673845214849255,4.326786063284349,1.7377692654532233,1.9480510354436449,0.3445195880253549
India,6.250604045759544,5.116280285758439,2.3854403733045277,2.3332509620949162,1.8166360045252883,2.8577452577521667,12.998096797515664,2.8198609404697814,3.0687571190262295,0.6703435033255386
South Korea,3.9126692309235094,1.2715121728938041,0.7005883829359028,1.385326034990194,0.7785570953756299,1.41315530911621,2.678820069362324,0.8341026963188551,0.9190575060505695,0.17021345858153533
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia_NZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,5.274473007728162,2.5683833941258443,1.0431528239267758,1.145147790611672,0.8381008201342363,1.6310757902133322,9.551550791778924,2.0093745801396867,3.6707162287201314,1.9008129466655044
South Africa,3.4484426227710014,0.6453005135070085,0.4201278510560825,0.7053130109099293,0.4229809467470702,1.0575611996797223,3.4948953706385435,1.3684233090794449,3.1558284559251537,1.8189999147251557
Argentina,3.2165640829087407,1.7830040962387579,1.3090718893962308,1.3418331940793542,1.0184163873808825,1.8486780937591578,3.832595143222143,2.187116078809103,3.6029936841194417,1.476376590498836
Indonesia,7.407825158975635,5.544528240062672,2.0460269278852694,1.9988797579391595,1.55732089860688,2.4722051167584005,17.112015034771023,2.4825857237852493,2.823967503818417,0.8955666466406265
Other,4.452438201378362,2.081811064159008,0.9064047086664906,1.358377779348552,0.8554052701338779,1.5065376169483962,5.907687965923803,1.169703999301263,1.4607397749286684,0.47413450848256367
