macro_region,Power Supply,Ferrous metals,Non-metallic minerals,Construction,Land transport,Water transport,Warehousing,Agriculture,Market Services,Non Market Services
USA,2.313485890223312,1.806869711098448,1.1400707570440805,3.417479932306641,2.313485890223312,1.266745285604534,2.313485890223312,5.592273553850017,1.289048240410658,1.046740604618778
EU-15,1.5653686815996566,2.529095582583002,0.7759140564114593,1.204338261672319,1.5653686815996566,0.8621267293460659,1.5653686815996566,9.73727878662701,0.7568677929567313,0.7032419522535908
EU-27,2.106950907594316,3.0965843643586526,1.110786817020209,1.7320086289362298,2.106950907594316,1.2342075744668992,2.106950907594316,11.253182301052227,0.9630335793739351,0.8727433331274169
Europe_Non_EU,2.7602428949929,6.566420510967913,1.6308946591007365,1.5075824982568387,2.7602428949929,1.8121051767785972,2.7602428949929,25.92919281052681,1.0088228848096275,0.948137718214303
Japan,0.77281955525913,1.975895718346965,0.6304669885927491,3.7415258838945684,0.77281955525913,0.7005188762141655,0.77281955525913,8.63586444721697,0.43958470292514956,0.0723006790449645
China,2.5629379242841095,2.553408004236352,1.9835163392505786,4.598159789023426,2.5629379242841095,2.2039070436117534,2.5629379242841095,5.3370294317935665,0.7847389259108246,0.359030880672356
India,3.6856171554981443,3.8171393463583234,2.874825606463069,13.61084440139407,3.6856171554981443,3.194250673847855,3.6856171554981443,11.774958303039707,1.805771106032918,0.491366481650289
South Korea,1.8917551413519291,3.9075929517482204,1.502140318226505,3.1246803630888778,1.8917551413519291,1.66904479802945,1.8917551413519291,13.706526279397316,0.5140208970157311,0.222710343322479
Canada,0.45676929633972496,0.6457204442608786,0.2443566309127705,0.678850064463367,0.45676929633972496,0.2715073676808565,0.45676929633972496,2.4435066115181305,0.2355470518826125,0.18526192865886848
Australia_NZ,2.2015551020096558,2.1344428413366456,1.1340069399723691,2.017815687283171,2.2015551020096558,1.26000771108041,2.2015551020096558,6.505399730700825,1.0538819575192846,0.941547390929246
Mexico,2.522067604062237,2.6227288919553717,1.5205911452530256,4.486612799219869,2.522067604062237,1.6895457169478054,2.522067604062237,8.19106912385674,1.202093587760547,0.8325218871144315
Russia,2.2584076013122947,2.187886787631915,1.8424635431681091,0.5833509522198801,2.2584076013122947,2.0471817146312326,2.2584076013122947,2.1296852889365288,0.24949452266834898,0.211225886681062
Brazil,3.9297922196885864,2.019609405065734,1.1781589097643321,10.20696425868168,3.9297922196885864,1.3090654552937027,3.9297922196885864,10.686616157155164,3.392454147645538,2.6207267643948837
South Africa,3.8428702700453794,1.9738563319052116,0.772174082912181,3.8931292974179676,3.8428702700453794,0.8579712032357565,3.8428702700453794,9.522047903749192,3.0906465852045057,2.984899066809623
Argentina,4.341895902004475,2.462069547435175,1.7681869870655056,4.307921859809582,4.341895902004475,1.9646522078505615,4.341895902004475,6.8714266711839445,2.5821977291902494,2.377243694153913
Indonesia,2.7069323007751382,2.4759798706667624,1.7544271075616305,17.93771621214309,2.7069323007751382,1.9493634528462556,2.7069323007751382,12.974345566759867,2.479371428589947,0.7575688479288825
Other,2.214324020649921,3.547905594703691,1.5096409923026106,6.3869382933643095,2.214324020649921,1.677378880336234,2.214324020649921,13.666688357352239,1.1246291813203175,0.5369451403136868
